Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
6116001622,,6111002097,1/23/2018,,6116001258,2/12/2018,,6118002418,7/2/2018,,5b20002343,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6116001309,,6113000713,,,6115001637,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000497,,6118002092,1/23/2018,,6112000118,2/21/2018,,6116001923,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6113001095,,6116001841,1/23/2018,,6115001427,2/21/2018,,6115001605,4/9/2018,,6116001460,4/23/2018,,5a27000475,7/29/2018,,,,,,,,,,,,,,,,,,
6112001490,,5B19001400,2/5/2018,,5b20001950,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111002126,,6116000869,,,5B13000756,4/5/2018,,6118003595,5/14/2018,,6116001656,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6111002017,,6116001922,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001966,,6118002904,2/5/2018,,6111000023,2/21/2018,,6118003595,5/8/2018,,5a29000538,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6111001700,,5B20002271,1/29/2018,,6118003284,4/5/2018,,5A28001014,4/9/2018,,5A27001545,6/25/2018,,6116002035,7/29/2018,,6118001574,8/6/2018,,,,,,,,,,,,,,,
6111001060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B05002169,,5b13002105,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28002692,,6118002783,6/21/2018,,6116001378,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003302,,6116002266,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002795,,5B19001311,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000409,,5a21000494,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002082,,6118003198,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001955,,6116001888,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001651,,6116001415,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114002051,,6111001716,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113002263,,6111000131,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113001502,,6115000386,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113000086,,6116002531,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112001259,,6111000734,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112001128,,6118001664,3/7/2018,,5A27000362,4/3/2018,,5a28002440,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6111000064,,6109000540,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000914,,6116001561,12/17/2017,,5A28000346,3/20/2018,,6116001564,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001060,,6111000058,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000674,,6111000143,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002179,,6116002411,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002161,,6116001060,1/15/2018,,6115001631,4/5/2018,,6116001617,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116000754,,6118003354,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002744,,6116002089,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001024,,6114000120,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002800,,6118002535,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002218,,5A28001900,2/5/2018,,6116002800,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000095,,6118002217,1/3/2018,,5a28002201,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001276,,6127001229,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000221,,6115001420,2/19/2018,,6116001175,3/27/2018,,6115002323,4/4/2018,,6115001427,7/9/2018,,5A28001174,7/29/2018,,,,,,,,,,,,,,,,,,
5A27000778,,5b20002418,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002096,,5A27000788,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
